Data,Mandante,,Visitante,Vitória doMandante,Empate,Vitória doVisitante
22/06/2023,Red Bull Bragantino,4x0,Flamengo,29.2 %,23.0 %,47.8 %
22/06/2023,Grêmio,3x1,América MG,54.7 %,22.5 %,22.8 %
22/06/2023,Coritiba,0x1,Internacional,23.2 %,25.8 %,51.0 %
22/06/2023,Cuiabá,0x1,Botafogo,26.4 %,28.0 %,45.6 %
24/06/2023,Fluminense,2x1,Bahia,70.4 %,19.4 %,10.2 %
24/06/2023,Cruzeiro,1x0,São Paulo,36.4 %,28.7 %,34.9 %
24/06/2023,Athletico PR,1x0,Corinthians,48.5 %,25.9 %,25.6 %
24/06/2023,Fortaleza,2x1,Atlético MG,50.9 %,27.2 %,21.9 %
25/06/2023,Palmeiras,0x1,Botafogo,55.0 %,26.3 %,18.6 %
25/06/2023,Santos,2x3,Flamengo,27.7 %,26.3 %,46.0 %
25/06/2023,Red Bull Bragantino,2x0,Goiás,57.5 %,22.8 %,19.7 %
25/06/2023,Grêmio,5x1,Coritiba,76.1 %,17.1 %,6.8 %
25/06/2023,América MG,1x2,Internacional,41.7 %,24.7 %,33.6 %
26/06/2023,Vasco,1x0,Cuiabá,45.4 %,25.4 %,29.2 %
01/07/2023,Flamengo,2x0,Fortaleza,49.2 %,23.1 %,27.7 %
01/07/2023,São Paulo,1x0,Fluminense,38.1 %,26.4 %,35.5 %
01/07/2023,Internacional,0x0,Cruzeiro,48.7 %,28.7 %,22.5 %
01/07/2023,Bahia,1x2,Grêmio,32.8 %,25.3 %,41.9 %
02/07/2023,Botafogo,2x0,Vasco,59.7 %,24.6 %,15.7 %
02/07/2023,Corinthians,0x1,Red Bull Bragantino,44.3 %,26.7 %,28.9 %
02/07/2023,Atlético MG,2x2,América MG,48.9 %,24.6 %,26.5 %
02/07/2023,Athletico PR,2x2,Palmeiras,31.5 %,26.0 %,42.6 %
02/07/2023,Cuiabá,3x0,Santos,44.6 %,29.2 %,26.2 %
03/07/2023,Goiás,1x2,Coritiba,63.0 %,22.4 %,14.6 %
08/07/2023,Vasco,0x1,Cruzeiro,36.6 %,29.2 %,34.2 %
08/07/2023,Palmeiras,1x1,Flamengo,51.4 %,22.9 %,25.7 %
08/07/2023,Coritiba,3x1,América MG,30.4 %,23.4 %,46.3 %
08/07/2023,Atlético MG,0x1,Corinthians,54.4 %,28.6 %,17.1 %
08/07/2023,Cuiabá,1x1,Bahia,49.4 %,25.8 %,24.8 %
09/07/2023,Fluminense,2x0,Internacional,60.1 %,24.0 %,16.0 %
09/07/2023,Santos,4x3,Goiás,49.0 %,27.7 %,23.3 %
09/07/2023,Red Bull Bragantino,0x0,São Paulo,41.4 %,26.3 %,32.3 %
09/07/2023,Grêmio,0x2,Botafogo,40.7 %,27.4 %,31.9 %
09/07/2023,Fortaleza,1x0,Athletico PR,54.5 %,23.6 %,21.9 %
15/07/2023,Botafogo,2x0,Red Bull Bragantino,61.4 %,24.6 %,14.0 %
16/07/2023,Fluminense,0x0,Flamengo,36.9 %,24.0 %,39.1 %
16/07/2023,São Paulo,4x1,Santos,67.1 %,22.4 %,10.5 %
16/07/2023,Cruzeiro,0x0,Coritiba,71.8 %,20.9 %,7.2 %
16/07/2023,Internacional,0x0,Palmeiras,30.7 %,28.1 %,41.2 %
16/07/2023,Athletico PR,2x0,Bahia,56.1 %,24.0 %,19.8 %
16/07/2023,Fortaleza,0x1,Cuiabá,64.3 %,22.5 %,13.2 %
17/07/2023,Goiás,0x0,Atlético MG,31.0 %,27.0 %,42.0 %
22/07/2023,Flamengo,1x1,América MG,69.0 %,17.1 %,13.9 %
22/07/2023,Palmeiras,3x1,Fortaleza,54.4 %,25.5 %,20.1 %
22/07/2023,Bahia,0x0,Corinthians,37.5 %,29.5 %,32.9 %
22/07/2023,Cuiabá,2x1,São Paulo,31.1 %,27.9 %,41.0 %
22/07/2023,Grêmio,1x0,Atlético MG,47.9 %,26.6 %,25.5 %
23/07/2023,Santos,2x2,Botafogo,16.7 %,25.8 %,57.5 %
23/07/2023,Vasco,0x2,Athletico PR,35.5 %,25.6 %,38.9 %
23/07/2023,Red Bull Bragantino,0x0,Internacional,48.2 %,27.4 %,24.3 %
23/07/2023,Cruzeiro,0x1,Goiás,58.6 %,26.6 %,14.7 %
24/07/2023,Coritiba,2x0,Fluminense,14.6 %,22.4 %,63.0 %
29/07/2023,Fluminense,1x0,Santos,70.1 %,19.6 %,10.4 %
29/07/2023,Corinthians,3x1,Vasco,60.3 %,25.0 %,14.7 %
29/07/2023,Atlético MG,1x2,Flamengo,35.6 %,27.2 %,37.2 %
29/07/2023,Internacional,1x2,Cuiabá,51.0 %,28.6 %,20.5 %
29/07/2023,Athletico PR,3x3,Cruzeiro,54.4 %,28.1 %,17.4 %
29/07/2023,Fortaleza,0x3,Red Bull Bragantino,54.6 %,24.7 %,20.6 %
30/07/2023,Botafogo,4x1,Coritiba,84.0 %,14.1 %,1.9 %
30/07/2023,São Paulo,0x0,Bahia,65.9 %,22.3 %,11.9 %
30/07/2023,América MG,1x4,Palmeiras,27.4 %,23.0 %,49.6 %
30/07/2023,Goiás,1x1,Grêmio,34.0 %,25.9 %,40.1 %
05/08/2023,Fluminense,2x1,Palmeiras,40.4 %,27.2 %,32.4 %
05/08/2023,Santos,1x1,Athletico PR,34.6 %,25.1 %,40.3 %
05/08/2023,Internacional,2x2,Corinthians,41.6 %,32.0 %,26.4 %
05/08/2023,Goiás,1x0,Fortaleza,32.4 %,26.5 %,41.1 %
06/08/2023,Bahia,3x1,América MG,48.0 %,23.7 %,28.2 %
06/08/2023,Vasco,1x0,Grêmio,30.7 %,24.9 %,44.4 %
06/08/2023,São Paulo,0x2,Atlético MG,52.2 %,28.7 %,19.2 %
06/08/2023,Cruzeiro,0x0,Botafogo,21.5 %,30.3 %,48.2 %
06/08/2023,Coritiba,0x1,Red Bull Bragantino,24.7 %,24.9 %,50.3 %
06/08/2023,Cuiabá,3x0,Flamengo,29.2 %,25.0 %,45.8 %
12/08/2023,Botafogo,3x1,Internacional,70.7 %,22.4 %,6.9 %
13/08/2023,Flamengo,1x1,São Paulo,55.1 %,23.7 %,21.2 %
13/08/2023,Corinthians,3x1,Coritiba,69.8 %,20.7 %,9.6 %
13/08/2023,Atlético MG,1x0,Bahia,61.1 %,26.3 %,12.6 %
13/08/2023,Grêmio,2x1,Fluminense,36.6 %,27.3 %,36.1 %
13/08/2023,Fortaleza,4x0,Santos,61.3 %,22.7 %,16.0 %
13/08/2023,América MG,0x1,Goiás,45.8 %,23.2 %,31.0 %
14/08/2023,Palmeiras,1x0,Cruzeiro,69.2 %,22.4 %,8.4 %
14/08/2023,Red Bull Bragantino,1x1,Vasco,65.2 %,21.8 %,12.9 %
15/08/2023,Athletico PR,2x0,Cuiabá,48.8 %,24.9 %,26.3 %
